handle;mark;element_type;shaft;face;width_mm;height_mm;area_m2;x;y;z;thickness_mm;address;physical_key;mark_method;mark_distance_mm
120B;ПП7;Панель облицовки шахты;ГП1;А;5700.0;1130.0;6.441;25298.679;70843.417;-110.0;;"ГП1, сторона А; 5/Е; Z -0.110…+1.020";9e0e9e111d23607dd89d4c45;inside;0.0
120C;ПП7.1;Панель облицовки шахты;ГП1;В;5700.0;1130.0;6.441;29348.679;70843.423;-110.0;;"ГП1, сторона В; 5/Е; Z -0.110…+1.020";a447d6d1b2a36b50cd2be14e;inside;0.0
1213;ПП8;Панель облицовки шахты;ГП1;А;5700.0;1130.0;6.441;25298.679;70843.417;1040.0;;"ГП1, сторона А; 5/Е; Z +1.040…+2.170";c8b6896c48b3771a884f38d5;inside;0.0
1214;ПП8;Панель облицовки шахты;ГП1;В;5700.0;1130.0;6.441;29348.679;70843.423;1040.0;;"ГП1, сторона В; 5/Е; Z +1.040…+2.170";dec381e4bd9b20d8db73bc71;inside;0.0
121A;ПП8;Панель облицовки шахты;ГП1;А;5700.0;1130.0;6.441;25298.679;70843.417;2190.0;;"ГП1, сторона А; 5/Е; Z +2.190…+3.320";c4b250070d7d93ebc5582edb;inside;0.0
121B;ПП8;Панель облицовки шахты;ГП1;В;5700.0;1130.0;6.441;29348.679;70843.423;2190.0;;"ГП1, сторона В; 5/Е; Z +2.190…+3.320";dc544bbf57ad1e765fc74101;inside;0.0
121D;ПП8;Панель облицовки шахты;ГП1;А;5700.0;1130.0;6.441;25298.679;70843.417;3340.0;;"ГП1, сторона А; 5/Е; Z +3.340…+4.470";e4493cd3f54f5d4e86596fc3;inside;0.0
121E;ПП8;Панель облицовки шахты;ГП1;В;5700.0;1130.0;6.441;29348.679;70843.423;3340.0;;"ГП1, сторона В; 5/Е; Z +3.340…+4.470";cfa2e6deabe8b712f092d2c5;inside;0.0
121F;ПП9;Панель облицовки шахты;ГП1;А;5700.0;1295.0;7.3815;25298.679;70843.417;4490.0;;"ГП1, сторона А; 5/Е; Z +4.490…+5.785";85ea9db697923c8c1d194c43;inside;0.0
1220;ПП10;Панель облицовки шахты;ГП1;В;5700.0;1295.0;7.3815;29348.679;70843.423;4490.0;;"ГП1, сторона В; 5/Е; Z +4.490…+5.785";293e7314f352b11ea5d08faa;inside;0.0
1221;ПП11.1н;Панель облицовки шахты;ГП1;Б;4050.0;1295.0;5.24475;27323.676;73693.42;4490.0;;"ГП1, сторона Б; 5/Ж; Z +4.490…+5.785";45252f19cb8e4003f6ef756d;inside;0.0
1222;ПП11.1;Панель облицовки шахты;ГП1;Г;4050.0;1295.0;5.24475;27323.682;67993.42;4490.0;;"ГП1, сторона Г; 5/Е; Z +4.490…+5.785";32dcd62019d008aaf0c036d8;inside;0.0
1223;ПП9;Панель облицовки шахты;ГП1;А;5700.0;1295.0;7.3815;25298.679;70843.417;5805.0;;"ГП1, сторона А; 5/Е; Z +5.805…+7.100";da5565b25196163150dbc835;inside;0.0
1224;ПП10;Панель облицовки шахты;ГП1;В;5700.0;1295.0;7.3815;29348.679;70843.423;5805.0;;"ГП1, сторона В; 5/Е; Z +5.805…+7.100";43598f2456e716c3128f29a6;inside;0.0
1225;ПП11н;Панель облицовки шахты;ГП1;Б;4050.0;1295.0;5.24475;27323.676;73693.42;5805.0;;"ГП1, сторона Б; 5/Ж; Z +5.805…+7.100";15dec459e9a7914fe3d79dd7;inside;0.0
1226;ПП11;Панель облицовки шахты;ГП1;Г;4050.0;1295.0;5.24475;27323.682;67993.42;5805.0;;"ГП1, сторона Г; 5/Е; Z +5.805…+7.100";2e3191d988fe9817892ed33a;inside;0.0
1227;ПП9;Панель облицовки шахты;ГП1;А;5700.0;1295.0;7.3815;25298.679;70843.417;7120.0;;"ГП1, сторона А; 5/Е; Z +7.120…+8.415";732f7120aa9aae1c783a514e;inside;0.0
1228;ПП10;Панель облицовки шахты;ГП1;В;5700.0;1295.0;7.3815;29348.679;70843.423;7120.0;;"ГП1, сторона В; 5/Е; Z +7.120…+8.415";edfc309129fe6bb9ee1886e4;inside;0.0
1229;ПП11н;Панель облицовки шахты;ГП1;Б;4050.0;1295.0;5.24475;27323.676;73693.42;7120.0;;"ГП1, сторона Б; 5/Ж; Z +7.120…+8.415";2bc8136ac8a85d4ebe46bb5b;inside;0.0
122A;ПП11;Панель облицовки шахты;ГП1;Г;4050.0;1295.0;5.24475;27323.682;67993.42;7120.0;;"ГП1, сторона Г; 5/Е; Z +7.120…+8.415";02269a22188dfd3eb82af7ca;inside;0.0
